text,label
"zrovna tak je to s těmi extra výhodami , jejich účtování , podvody a oblbování zákazníků to je o2",0
já jedu : -),1
bude nám smutno ! <repeat> : (,0
ať se daří. <3,2
"takovejch kuchařů v nabídce , že bych si také nějakou tu sadu koupila? : d",1
mne naprosto v chrome jede : ) . <repeat> zkuste daný prohlížeč nainstalovat znova.,1
radime co to bylo zpusteny : -p . <repeat> sedela jsem u toho 3dny ! <repeat>,0
"takhle jsem vyplázla minulý měsíc za přechod na student krásný 2000 , - : )))))",0
"tak jsem zkoušel ruční připojení . <repeat> teď je to chyba 692 - chyba hardwaru , nebo portu . <repeat>",1
no zrovna jsem ho dojedla a jsem dost zklamaná . <repeat> big clasic cheese byl 100x lepší . <repeat> mám ho strašně ošizenej a maso pomalu syrové . <repeat>,0
"co máte s tím kolem štěstí? točila jsem - opět výhra - a opět se mi žádná nezobrazila , už po třetí . <repeat>",0
"tak je jasné , že nějakým psaním dokola se nic nezmění : -)",0
chtěla bych cheese za dvacku v německu : -d 2 eura minimálně,0
je to starý a už se to užívá dost dlouho někde jinde . <repeat>,0
"dobrý den , prosím můžete mi říct do kdy mám u vás zvezek na mobilní připojení k netu ič 70881782 děkuji petr",1
dostupné pro všechny verze telefonu s anrojidem : -d . <repeat> update rovnou do koše : -d,1
spustite take snizeni cen pro rezidenty do vaseho ceniku?,1
"co takhle kolín nechápu proč jste to odmítli , když vám nabízeli místo ve futuru tam byste měli narváno jste lolci : (",0
"kdo by měl kódy na víc a chtěl by si troufnout na jemnost tak mé id je 1380911028 , moc děkuji : d",1
zajímavé . <repeat> : -),1
moc dobrý pití jsme s alofok : ),2
"obal je krásnej , ale skořicu teda nemusím . <repeat>",1
"jsem jediný , komu při přihlášení do systému nejede scroolování v historii odeslaných sms?",1
jak je možné tašku získat ? <repeat>,1
jedna větší výhoda než druhá : d do kina jen v úterý a platí to jen týden to si strčte za klobouk ; ) ještě že už s vámi nemám smlouvu,0
"krabičky jsou plné , neboť parfémy se mají skladovat ve tmě.všeobecně známá informace!",1
"inu jediné řešení , kdy se nechytáš za hlavu , když jsi doposud hrál hru : za hodně peněz málo muziky.",1
"osobně bych tam přidala ještě nějakou zeleninu , třeba salát a rajče a nebo ho dát s brusinkami. takhle vypadá hrozně stroze",0
"od listopadu jsem využil jen jedinou aplikaci , a to ještě jen proto abych to vyzkoušel , vaší ošatku si strčte kam chcete!",0
"zpráva se odeslala , výpis doručeno , odpověď přišla , čili sms fungují",1
"jakmile mi kolegyně řekla , čím tak úžasně voní , musela jsem si ho objednat ; -)",2
přesně . <repeat> takový dost suchý a nic extra to oproti jiným fastfoodům není . <repeat> chtělo by tam přidat třeba ještě kečup a rajčata nebo něco . <repeat>,0
na měsíc se mu to povedlo . <repeat> pak sel z baráku,1
nechápu . <repeat> když se to dá obejít . <repeat> proč to neni rovnou pro všechny?,1
našenašenaše michaela černá <3,1
pokud mi je pošlete tak budete hodná : ) předem děkuji.,2
na hodonínsku by mohl vzniknou mekáč . <repeat> : -) myslím že by to tu docela oživilo a i ohlasy by byly výborné . <repeat> : -),2
já jsem si ale dělal legrando : )) mám svoje kolena rád : d,1
"fajn , zejtra zajdu do bbcentra. jestli tohle o2 guru vyřeší , tak má u mě respekt.",1
tak to není dobrá reklama pro kofolu : d,0
markéta marošová : co tu meles kdyz an nemas vodafone,0
"včera jsem měla grilled chicken wrap a málem jsem se poblila , s rollem se to nedá srovnat : (",0
"ještě když byla v těch starých malých vratných sklenkách od sodovek , dvacet v černé base : -)",1
u nás v ostravě je to třeba vždy 40kč,1
nádherný : ) ! <repeat>,2
dozkoumáno vyřešeno . <repeat> =) mnohokrát děkuji za rychlost a ochotu . <repeat>,2
pěkný sluchátka,2
"jo jo , britky , jsou jim jen 3 měsíce",1
"já bych si radost udělala hned , už mám vyhlídnuto , ale penízky se pořád kutálejí někam jinam : ))))",1
chtěl bych se zeptat kdy vypustíte aktualizaci androida na xperia go,1
fuj teď ten chickenburger pěkně posrali s tim rajčetem a novou vomáčkou . <repeat> nedá se to žrát . <repeat> starej byl bejlepší,0
deep blue nejde porazit člověkem : ),1
někteří lidé dnešek nazývají valentýn. já dnešku říkám úterý.,1
bez rakovinotvorných konservantů milerád. do té doby to jistí těžká coca-cola.,1
já jsem posílal téměř hned po zadání na fb a nic : d vodafone nás šulí : ))),0
"den zatím super : ) a jednu 0 , 5l tu mám : d",2
je někde k sehnani v čr ta nová kofola? nikde ani vidu ani slechu : (,0
odkdy je kofola průhledná? : d,1
"bohužel , ani jedno se nám nelíbí : o( páně cihlářovým linorytům ani jeden z nich nesahá ni po kotníky . <repeat>",0
ve freeshopu a je plny cokolaadky : ),2
najde se nějaký sponzor?,1
náhodou reklamy jsou super,2
krásný zvíře!,2
jahody a ovoce . <repeat> nejlepší ; -),2
na čverečky nej je oříšková,2
"jéé to je vtipné , až se za břicho popadám ! <repeat>",2
"jak je znám , tak s tou svojí rychlostí tam dolezou na podzim . <repeat>",1
"sice děkuji za ochotu , ale již je pozdě. definitivně odcházím tam , kde mám daleko lepší podmínky a nesnaží se naúčtovat kdejekou blbost.",0
"jů už se těšim až budou větší , že se na ně budu moc přijít podívat. tygři jsou nejúžasnější kočkovitý šelmy",2
hodně spokojených mlsalů,1
"lukáši , zákaznickou linku ne-eeeee , tam se nedovoláte : -o : -))))",1
"vypadá to , že šli dělat hají . <repeat> musí nabrat sílu",1
"no tak to byl pokus o vtip na ty mladý , jak vždycky řikají ""hustýýýýý"" : d",1
vodafone nechci chci mít stejné číslo jak mám,1
potkaji se někdy kecky s houbama? : o),1
"ještě bych prosila odpověď , co se týká té druhé karty - s těmi sms .děkuji.",1
poběží taky útvar pro ochranu ústavních činitelů? : -),1
v pohodě přeji hezký den,2
můj oblíbenec : ),2
kdy byste byla tak hodná a poslala mi prosím,1
"leje kofolu s tuzemákem , řve na soby , a má nás u p . <repeat> : d",1
tak už se tam prohání jedna ještěrka! : ) teď ještě aby vylezla ta želvička . <repeat>,1
to každopádně nejradši bych tam vlezla a všechny je vyndala : -d,1
"verčo brňačko , to jsme na tom stejně. : (",0
už : ))) děkujeme zoo : ))),2
cacharel si určitě kup . <repeat> je nejlepší ! <repeat> ; ),2
"nejste sama , mě chabí jeden bod na výhru ! <repeat>",1
konečně je tu sýrová sezona ! <repeat>,2
"a jeste navic ty uk tarify jsou vyhodnejsi nez ty u nas , takze nas oderou na telefonu i na tarifu a to se vyplati!",0
pro jistotu nikam a vůbec : )),1
to ta pani musi nejspis delat v obchode a shrabla vsechny domu tak jak prisly!,0
vánoční nákupy . <repeat> to slovo vánoce tam není pro srandu králíkům. : ),1
twl parta to sežerku s kamosem sam kdyz su cumime ne neaky horor u nás : dd,1
dobrý den vyhrál jsme u vás bomboniéru milku adresu odeslal a nic mi nepřišlo ? <repeat>,0
"tahle reklama je sice stará , ano ale vtipem a smyslem předší ostatní ; -)",0
cca před rokem na mácháči. : dd,1
podlě mně je to přeslazený chemický cosi : d odklopíte víčko a mávaj na vás éčka : d,0
"pořád to nevysvětluje to , proč moje kódy tvrdnou na naší poště a nejsou alespoň na cestě . <repeat> : (",0
vám taky . <repeat>,1
tak to jste špatně hledal : -p,1
"sem zvědavej , kdy již budou ve výběhu - aby pak nebyl uzavřenej pavilon šelem kvůli lvům . <repeat> : ))",1
velká gratulace a hodně štěstí do života . <repeat>,2
no a kromě toho lživé informace o tarifech v e-shopu . <repeat>,0
"zbysku , neprud a porad : -)",1
"takže když dostanu blbý fusekle , tak už příště nemohu hrát ? <repeat> to t- mobile myslí vážně ? <repeat>",0
děkuji za info. a odkaz,2
"nebudu platit ""férový"" tři stovky za něco , co nepotřebuju. až mi skončí tarif na míru student , jdu ke konkurenci.",0
nechápu že neděláte rozvoz meníček.máte lepší marži na jídle než kdejaká pizzerka a navíc by vám to vydělalo další mergle . <repeat>,0
"vodafone cz : v případě že mám tarif na míru , tak podmínky na 6 měsíců zůstanou a nebo? děkuji",1
prostě mazec,1
koupeno a už se těšíme : -),2
byla to hrůza : ),0
"dobrý den , jak si můžu aktivovat internet na den (připojení bez tarifu)? děkuji.",1
"co je pravdy na tom , že je to jen polovina představení?",1
děkuji vám sandro a přeji hezký sluneční den,2
to je lež ! <repeat>,0
ten mám a fakt libově voní doporučuji,2
"oskárek na androidu ; -) taky moc často používám : -) klasickou sms jen když potřebuju nutně vědět , že byla doručena : -)",1
<user> bodláková 100kč? kolik vážíš? 150kg ! <repeat> : d normální holka nezvládne ani 3 chickeny ; d,1
co kdybyste sem dali nějakej pořádnej telefon cooo? : d,0
lide se nikdy nezmeni . <repeat>,0
"paní adriana zjevně zastává názor , že co můžeš udělat sám , nenech dělat profesionály ; -)",1
"jen dotázek , kdy se začnou dárečky rozesílat 8-)",1
vůbec o tom nepochybuji . <repeat> budu přímo nadšená . <repeat> už se těšííííím,2
